9万,196.7万,半妖的夜叉姬,413.5万,"原创,穿越,奇幻,战斗"
104.3万,181.6万,pop子和pipi美的日常,4890.1万,"搞笑,漫画改"
22.5万,192.4万,地狱少女,808.5万,"原创,神魔"
306.9万,184.1万,双星之阴阳师,8885.4万,"热血,奇幻,战斗,冒险"
66.2万,286.1万,K,2058.7万,"奇幻,战斗,声控"
68.5万,185.3万,我，不是说了能力要平均值么！,5007.4万,"小说改,穿越,奇幻,萌系"
345.2万,335.4万,Fate/Zero 第二季,7936.3万,"时泪,奇幻,战斗,热血"
46.6万,157.3万,神之塔,4324万,"漫画改,战斗,奇幻,冒险"
40.7万,158.5万,格莱普尼尔,3735.3万,"漫画改,奇幻,战斗"
80万,155.5万,猫和老鼠 旧版,5607.6万,"搞笑,日常"
50.5万,158.7万,异界少女召唤术,3036.1万,"小说改,奇幻,战斗,魔法"
38.8万,260.3万,幻界战线 & BEYOND,3266.8万,"奇幻,战斗,漫画改"
71.5万,155.7万,我想吃掉你的胰脏,1952.9万,"爱情,动画,小说改"
28.1万,214.6万,无论何时我们的恋情都是10厘米。～告白实行委员会～,1529万,"恋爱,音乐,原创,校园"
25.1万,199.5万,魔法纪录 魔法少女小圆外传,1618万,"游戏改,奇幻,战斗,萌系"
126.6万,160.4万,这个美术社大有问题！,3569.7万,"校园,日常"
27.9万,181.3万,邪神与厨二病少女 第二季,2231.2万,"搞笑,日常,神魔,漫画改"
111.7万,158.8万,声之形,1818.6万,"动画,爱情,剧情,漫画改"
77.8万,231.1万,请问您今天要来点兔子吗？,1617.9万,"萌系,日常,美食,治愈"
261.6万,167.8万,火影忍者 疾风传,1.3亿,"热血,战斗,漫画改,架空"
83.5万,162.8万,漆黑的子弹,1992.7万,"奇幻,战斗"
41.8万,161万,Megalo Box,4160.6万,"运动,科幻,原创,热血"
128.2万,418.5万,齐木楠雄的灾难（日播&精选版）,2.1亿,"奇幻,校园,泡面,漫画改"
68.5万,166.7万,问题儿童都来自异世界？,4698.7万,"奇幻,战斗,热血,架空"
117.6万,164.6万,邻座的怪同学,4222.4万,"搞笑,少女,校园"
