barrage,follow,name,play,tags
4050000,2899000,名侦探柯南,130000000,"漫画改,推理,智斗"
3891000,3478000,食戟之灵,160000000,"美食,热血"
1806000,2397000,线上游戏的队友不可能是女生？,67630000,"奇幻,校园"
1501000,5061000,夏目友人帐 伍,45844000,"治愈,催泪,神魔,漫画改"
2623000,4865000,Fate/stay night [Unlimited Blade Works] 第二季,120000000,"奇幻,热血"
238000,2688000,炎炎消防队 贰之章,27595000,"漫画改,热血,战斗,声控"
1340000,3642000,野良神,36915000,"奇幻,战斗,漫画改,神魔"
884000,3943000,路人超能100 II(灵能百分百 第二季),83358000,"热血,奇幻,战斗,漫画改"
14000,2387000,在地下城寻求邂逅是否搞错了什么,1142000,"小说改,奇幻,战斗,架空"
917000,2158000,贤者之孙,67281000,"小说改,奇幻,架空,穿越"
1199000,4185000,齐木楠雄的灾难 第二季,88043000,"搞笑,校园,漫画改"
915000,2155000,宇崎学妹想要玩！,52914000,"漫画改,搞笑,校园"
1820000,3478000,食戟之灵 贰之皿,85276000,"热血,美食"
2112000,3642000,野良神 ARAGOTO,100000000,"奇幻,战斗,漫画改,神魔"
1402000,4185000,齐木楠雄的灾难,110000000,"校园,搞笑,日常,漫画改"
260000,2340000,诸神的逆鳞,43688000,"漫画改,热血,战斗,奇幻"
554000,2184000,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,43609000,"小说改,奇幻,魔法,冒险"
1016000,2196000,入间同学入魔了,96006000,"漫画改,校园,搞笑,奇幻"
1234000,2235000,钢之炼金术师 FULLMETAL ALCHEMIST,50853000,"时泪,奇幻,战斗,热血"
3591000,6525000,某科学的超电磁炮S,56007000,"校园,战斗,奇幻"
2961000,2192000,我女友与青梅竹马的惨烈修罗场,41798000,"校园,恋爱"
3256000,4808000,JOJO的奇妙冒险 不灭钻石,90737000,"热血,奇幻,漫画改,战斗"
718000,2216000,理科生坠入情网，故尝试证明。,36258000,"漫画改,日常,搞笑,校园"
2400000,2207000,落第骑士英雄谭,88819000,"校园,战斗,架空,冒险"
1021000,2227000,CAROLE & TUESDAY,61491000,"原创,科幻,音乐,励志"
743000,4356000,Fate/Grand Order ‐First Order‐,27086000,"战斗,游戏改"
610000,2450000,元气少女缘结神◎,25209000,"奇幻,少女,神魔"
2274000,2229000,龙与虎,32961000,"少女,校园,治愈,催泪"
1877000,1880000,黑色四叶草,150000000,"战斗,热血,魔法,漫画改"
524000,2340000,戒律的复活,76711000,"热血,战斗,漫画改,架空"
60000,2387000,剑姬神圣谭  在地下城寻求邂逅是否搞错了什么 外传 ,4104000,"小说改,奇幻,架空,神魔"
607000,2387000,在地下城寻求邂逅是否搞错了什么 第二季,40854000,"小说改,奇幻,战斗,冒险"
783000,2476000,玉子市场,20340000,"萌系,少女,治愈,日常"
349000,1901000,Angel Beats!,10916000,"奇幻,校园,战斗,催泪"
600000,1941000,甘城光辉游乐园,19812000,"日常,奇幻,励志,职场"
1213000,5061000,夏目友人帐 陆,38793000,"催泪,奇幻,日常,治愈"
1040000,1987000,打工吧！魔王大人,78004000,"日常,小说改,神魔,职场"
724000,1994000,此花亭奇谭,27433000,"萌系,漫画改,日常,治愈"
1256000,2006000,喜欢本大爷的竟然就你一个？,55250000,"小说改,校园,恋爱"
651000,1976000,小木乃伊到我家,40803000,"漫画改,萌系,搞笑,日常"
667000,2021000,言叶之庭,16940000,"日常,少女,治愈"
960000,2042000,少女终末旅行,30494000,"奇幻,漫画改,冒险,架空"
975000,1993000,从零开始的魔法书,41930000,"小说改,奇幻,魔法,架空"
3966000,2014000,博人传 火影忍者新时代,200000000,"热血,架空,冒险"
198000,3954000,中二病也要谈恋爱！恋,5968000,"搞笑,恋爱"
964000,2052000,星掠者,87548000,"漫画改,奇幻,搞笑,战斗"
2622000,2246000,我的妹妹不可能那么可爱 第一季,33136000,"萌系,校园,日常,恋爱"
827000,2093000,会长是女仆大人！,29679000,"日常,少女,校园,恋爱"
890000,1698000,重来吧，魔王大人！,50467000,"小说改,奇幻,魔法,穿越"
1249000,1717000,我的脑内选项正在全力妨碍学园恋爱喜剧,50306000,"搞笑,校园,恋爱"
2019000,3136000,终结的炽天使 名古屋决战篇,68719000,"奇幻,校园,战斗"
1242000,2151000,学战都市Asterisk,78133000,"校园,奇幻,战斗,架空"
12000,1733000,One Room 第三季,1612000,"日常,恋爱,治愈"
502000,1971000,我们无法一起学习！,32708000,"漫画改,日常,校园,恋爱"
795000,1857000,伪恋,13625000,"漫画改,搞笑,日常,校园"
880000,1971000,我们无法一起学习,45957000,"漫画改,日常,校园,恋爱"
1016000,1781000,骑士&魔法,66201000,"小说改,机战,奇幻,魔法"
798000,2603000,幻界战线,51752000,"科幻,热血,战斗"
90000,1967000,半妖的夜叉姬,4135000,"原创,穿越,奇幻,战斗"
1043000,1816000,pop子和pipi美的日常,48901000,"搞笑,漫画改"
1764000,2687000,你的名字。,36446000,"爱情,剧情,动画"
974000,1794000,异世界食堂,42401000,"小说改,奇幻,美食,架空"
225000,1924000,地狱少女,8085000,"原创,神魔"
1070000,1806000,属性咖啡厅,35210000,"萌系,少女,日常,漫画改"
3069000,1841000,双星之阴阳师,88854000,"热血,奇幻,战斗,冒险"
662000,2861000,K,20587000,"奇幻,战斗,声控"
3452000,3354000,Fate/Zero 第二季,79363000,"时泪,奇幻,战斗,热血"
685000,1853000,我，不是说了能力要平均值么！,50074000,"小说改,穿越,奇幻,萌系"
407000,1585000,格莱普尼尔,37353000,"漫画改,奇幻,战斗"
466000,1573000,神之塔,43240000,"漫画改,战斗,奇幻,冒险"
800000,1555000,猫和老鼠 旧版,56076000,"搞笑,日常"
715000,1557000,我想吃掉你的胰脏,19529000,"爱情,动画,小说改"
505000,1587000,异界少女召唤术,30361000,"小说改,奇幻,战斗,魔法"
281000,2146000,无论何时我们的恋情都是10厘米。～告白实行委员会～,15290000,"恋爱,音乐,原创,校园"
388000,2603000,幻界战线 & BEYOND,32668000,"奇幻,战斗,漫画改"
1117000,1588000,声之形,18186000,"动画,爱情,剧情,漫画改"
279000,1813000,邪神与厨二病少女 第二季,22312000,"搞笑,日常,神魔,漫画改"
251000,1995000,魔法纪录 魔法少女小圆外传,16180000,"游戏改,奇幻,战斗,萌系"
418000,1610000,Megalo Box,41606000,"运动,科幻,原创,热血"
1266000,1604000,这个美术社大有问题！,35697000,"校园,日常"
1282000,4185000,齐木楠雄的灾难（日播&精选版）,210000000,"奇幻,校园,泡面,漫画改"
685000,1667000,问题儿童都来自异世界？,46987000,"奇幻,战斗,热血,架空"
2616000,1678000,火影忍者 疾风传,130000000,"热血,战斗,漫画改,架空"
778000,2311000,请问您今天要来点兔子吗？,16179000,"萌系,日常,美食,治愈"
606000,1924000,地狱少女 宵伽,26116000,"治愈,神魔"
1176000,1646000,邻座的怪同学,42224000,"搞笑,少女,校园"
25000,2311000,请问您今天要来点兔子吗？？～Sing for You～,1263000,"漫画改,搞笑,日常,萌系"
835000,1628000,漆黑的子弹,19927000,"奇幻,战斗"
3583000,3537000,百变小樱,40640000,"少女,魔法"
246000,1450000,没落要塞 / DECA-DENCE,25407000,"原创,科幻,架空,冒险"
922000,1995000,魔法少女小圆,19439000,"奇幻,魔法,穿越,原创"
632000,1427000,博多豚骨拉面团,24655000,小说改
1133000,1857000,伪恋：,46771000,"日常,校园,漫画改"
86000,1412000,GOSICK,4407000,"萌系,奇幻,日常,催泪"
1247000,1400000,我太受欢迎了该怎么办,35794000,"乙女,漫画改,校园"
1095000,1833000,Rewrite,35345000,"奇幻,校园,穿越"
